Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00146931155818059,0.0202547315015083,0.00383279508656678,0,0,0,0.219401679394642,0.000208124167049704,5.60378040345074E-09,3.36864713263349E-08,0.000263070736031005,-2.91877091751583E-07,9.82049287222583E-05,0,0,0,0,0,0,package://car_model_v2/meshes/base_link.STL,0.984313725490196,0.980392156862745,0.96078431372549,1,0,0,0,0,0,0,package://car_model_v2/meshes/base_link.STL,,chassis-1;DC motor-1;DC motor-2;DC motor-6;DC motor-7;LIPO-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_wheel_link,0.00933674073330586,0.00927693681691626,-0.0137980057502913,0,0,0,0.026419137801914,2.21976511661251E-05,4.47703357237612E-16,2.16374537517752E-15,1.18489017629898E-05,-1.92054790503463E-14,1.18487420682976E-05,0,0,0,0,0,0,package://car_model_v2/meshes/fl_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_model_v2/meshes/fl_wheel_link.STL,,wheel-5,Origin_fl_wheel_joint,,fl_wheel_joint,fixed,-0.052447,0.050609,-0.0045225,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
fr_wheel_link,0.00933674073330584,0.0092769368169169,-0.0137980057502909,0,0,0,0.026419137801914,2.21976511661251E-05,4.47811464446858E-16,2.16381823941542E-15,1.18489017629898E-05,-1.92054815228219E-14,1.18487420682976E-05,0,0,0,0,0,0,package://car_model_v2/meshes/fr_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_model_v2/meshes/fr_wheel_link.STL,,wheel-2,Origin_fr_wheel_joint,,fr_wheel_joint,fixed,0.055629,0.027769,0.018468,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bl_wheel_link,0.00933674073330595,0.00927693681691626,-0.0137980057502909,0,0,0,0.026419137801914,2.21976511661251E-05,4.47703179377387E-16,2.16381625694231E-15,1.18489017629898E-05,-1.92054821918823E-14,1.18487420682976E-05,0,0,0,0,0,0,package://car_model_v2/meshes/bl_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_model_v2/meshes/bl_wheel_link.STL,,wheel-4,Origin_bl_wheel_joint,,bl_wheel_joint,fixed,-0.052447,-0.052231,-0.0091276,-3.1416,0,-3.1416,base_link,0,0,0,,,,,,,,,,,,
br_wheel_link,0.00933674073330602,0.00927693681691562,-0.0137980057502909,0,0,0,0.026419137801914,2.21976511661251E-05,4.47596247242471E-16,2.16381736016141E-15,1.18489017629899E-05,-1.92054832982213E-14,1.18487420682976E-05,0,0,0,0,0,0,package://car_model_v2/meshes/br_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_model_v2/meshes/br_wheel_link.STL,,wheel-3,Origin_br_wheel_joint,,br_wheel_joint,fixed,0.055629,-0.033677,-0.0091276,-3.1416,0,0,base_link,0,0,0,,,,,,,,,,,,
ultrasonic_link,-0.00199122837139814,0.00279169071619218,-3.46944695195361E-18,0,0,0,0.00191039816339745,3.47286799039144E-08,1.65247761678118E-21,7.08999414871017E-24,1.53770737048943E-07,5.93681768119573E-24,1.36494439910389E-07,0,0,0,0,0,0,package://car_model_v2/meshes/ultrasonic_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_model_v2/meshes/ultrasonic_link.STL,,ultrasonic-1,Origin_ultrasonic_joint,Axis_ultrasonic_joint,ultrasonic_joint,prismatic,0,0.051648,0.01217,3.1416,0,3.1416,base_link,1,0,0,0,0,0,0,,,,,,,,
camera_link,3.22441726097189E-16,0.00113811950909846,1.52655665885959E-16,0,0,0,0.000291398223686155,3.07398078263368E-09,1.8881694501457E-23,-5.46121795190631E-25,5.78718578948925E-09,-3.56408474223639E-27,3.07398078263368E-09,0,0,0,0,0,0,package://car_model_v2/meshes/camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_model_v2/meshes/camera_link.STL,,camera-1,Origin_camera_joint,Axis_camera_joint,camera_joint,fixed,0.00155886395139227,0.0450456398524161,0.031152378379546,-3.14159265358979,0,3.14159265358979,base_link,1,0,0,,,,,,,,,,,,
